127.0.0.1 - - [18/Jul/2022:16:40:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jul/2022:16:40:49 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [18/Jul/2022:16:40:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jul/2022:16:41:47 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [18/Jul/2022:16:58:43 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [18/Jul/2022:16:59:58 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:00:09 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:23:05 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:23:05 +0900] "GET /jul18_2_ValidCheck/validCheck.js HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:23:05 +0900] "GET /jul18_2_ValidCheck/hoValidChecker.js HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:28:12 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:28:12 +0900] "GET /jul18_2_ValidCheck/hoValidChecker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:28:12 +0900] "GET /jul18_2_ValidCheck/validCheck.js HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:17 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:17 +0900] "GET /jul18_2_ValidCheck/hoValidChecker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:17 +0900] "GET /jul18_2_ValidCheck/validCheck.js HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:30 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:30 +0900] "GET /jul18_2_ValidCheck/validCheck.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:31 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:32 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:33 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:33 +0900] "GET /jul18_2_ValidCheck/hoValidChecker.js HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:33 +0900] "GET /jul18_2_ValidCheck/validCheck.js HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:34 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:34 +0900] "GET /jul18_2_ValidCheck/hoValidChecker.js HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:34 +0900] "GET /jul18_2_ValidCheck/validCheck.js HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:34 +0900] "GET /jul18_2_ValidCheck/index.html HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:34 +0900] "GET /jul18_2_ValidCheck/hoValidChecker.js HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:34 +0900] "GET /jul18_2_ValidCheck/validCheck.js HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [18/Jul/2022:17:32:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
