127.0.0.1 - - [28/Jul/2022:09:14:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:14:43 +0900] "GET /jul26_DB/HomeController HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:14:43 +0900] "GET /jul26_DB/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:14:43 +0900] "GET /jul26_DB/css/boardContent.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:14:43 +0900] "GET /jul26_DB/js/hoValidChecker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:14:43 +0900] "GET /jul26_DB/css/write.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:14:43 +0900] "GET /jul26_DB/js/write.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:14:43 +0900] "GET /jul26_DB/css/menu3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:14:43 +0900] "GET /jul26_DB/js/move.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:14:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:14:48 +0900] "GET /jul26_DB/M1Controller HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:14:49 +0900] "GET /jul26_DB/M2Controller HTTP/1.1" 200 4208
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:17:17 +0900] "GET /jul26_DB/BoardContentPageController?boardNum=31 HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:19:31 +0900] "GET /jul26_DB/BoardContentPageController?boardNum=31 HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:20:04 +0900] "GET /jul26_DB/BoardContentPageController?boardNum=31 HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:20:06 +0900] "GET /jul26_DB/BoardContentPageController?boardNum=31 HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:20:15 +0900] "GET /jul26_DB/BoardContentPageController?boardNum=31 HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:20:15 +0900] "GET /jul26_DB/css/boardContent.css HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [28/Jul/2022:09:20:15 +0900] "GET /jul26_DB/css/write.css HTTP/1.1" 200 582
